,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
8495754,1.0,5.0,0.0,2.0,2.0,4.0
84966110,1.0,5.0,0.0,1.0,2.0,4.0
8499750,5.0,5.0,-1.0,1.0,2.0,4.0
850166,1.0,1.0,0.0,2.0,0.0,0.0
850519,1.0,1.0,0.0,2.0,0.0,0.0
850606697,1.0,1.0,0.0,3.0,0.0,0.0
850608890,5.0,5.0,-1.0,1.0,2.0,4.0
85133772,0.0,1.0,0.0,3.0,0.0,0.0
851411593,1.0,5.0,0.0,2.0,0.0,4.0
8514184,5.0,5.0,-1.0,1.0,2.0,4.0
8516137,2.0,0.0,-1.0,4.0,2.0,1.0
851662605,5.0,5.0,-1.0,1.0,2.0,4.0
8517199,2.0,4.0,-1.0,4.0,2.0,3.0
