,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
39144510,3.0,1.0,0.0,0.0,1.0,3.0
39148154,3.0,1.0,0.0,0.0,1.0,3.0
391497548,1.0,3.0,0.0,0.0,2.0,0.0
39158229,3.0,1.0,0.0,0.0,1.0,3.0
39164508,0.0,3.0,0.0,5.0,2.0,0.0
39167751,5.0,5.0,3.0,3.0,1.0,1.0
3917635,5.0,2.0,-1.0,4.0,3.0,5.0
3919062,0.0,3.0,0.0,5.0,2.0,0.0
3920554,4.0,0.0,-1.0,1.0,2.0,2.0
39210,3.0,1.0,0.0,0.0,1.0,3.0
3921098,4.0,4.0,0.0,2.0,2.0,4.0
3921311,3.0,1.0,0.0,0.0,1.0,3.0
3921425,3.0,1.0,0.0,0.0,1.0,3.0
39216730,4.0,4.0,-1.0,1.0,2.0,4.0
3922315,2.0,3.0,0.0,5.0,2.0,0.0
3922766,3.0,1.0,0.0,0.0,1.0,3.0
3923659,4.0,4.0,0.0,2.0,2.0,4.0
39246576,4.0,4.0,0.0,2.0,2.0,4.0
3925710,3.0,1.0,0.0,0.0,1.0,3.0
3926529,3.0,1.0,0.0,0.0,1.0,3.0
39287293,3.0,5.0,1.0,3.0,1.0,1.0
39291527,0.0,3.0,0.0,5.0,2.0,0.0
39297,5.0,5.0,5.0,3.0,1.0,1.0
3929874,4.0,4.0,0.0,2.0,2.0,4.0
3930159,5.0,5.0,2.0,3.0,1.0,1.0
39303391,3.0,1.0,0.0,0.0,1.0,3.0
39304077,0.0,3.0,0.0,5.0,2.0,0.0
3931738,1.0,3.0,0.0,0.0,1.0,0.0
3933596,4.0,4.0,0.0,2.0,2.0,4.0
39343584,0.0,3.0,0.0,5.0,2.0,0.0
39344931,1.0,3.0,0.0,0.0,2.0,0.0
39347480,0.0,3.0,0.0,5.0,2.0,0.0
3934909,3.0,1.0,0.0,3.0,1.0,3.0
3936245,3.0,1.0,0.0,0.0,1.0,3.0
393645,4.0,0.0,-1.0,1.0,0.0,2.0
