,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
31955199,0.0,2.0,0.0,2.0,3.0,2.0
31959288,0.0,2.0,0.0,0.0,3.0,2.0
3195989,1.0,1.0,-1.0,0.0,3.0,0.0
31969596,2.0,3.0,-1.0,1.0,2.0,3.0
3198079,0.0,2.0,0.0,2.0,3.0,2.0
32001583,1.0,0.0,0.0,0.0,3.0,0.0
3200326,0.0,2.0,0.0,0.0,3.0,2.0
3200474,1.0,1.0,-1.0,3.0,3.0,1.0
3200627,0.0,0.0,0.0,0.0,3.0,0.0
32016208,0.0,2.0,-1.0,2.0,0.0,2.0
32027241,0.0,0.0,0.0,0.0,3.0,0.0
3202861,0.0,0.0,0.0,0.0,3.0,0.0
32029263,0.0,0.0,0.0,0.0,3.0,0.0
32031581,1.0,1.0,-1.0,3.0,3.0,1.0
32033435,1.0,0.0,0.0,0.0,3.0,0.0
3204975,3.0,1.0,-1.0,3.0,1.0,1.0
3205249,0.0,2.0,1.0,2.0,3.0,2.0
32058751,0.0,0.0,0.0,0.0,3.0,0.0
3206581,3.0,1.0,-1.0,3.0,1.0,1.0
32070498,1.0,0.0,0.0,0.0,3.0,0.0
3210146,3.0,3.0,-1.0,1.0,1.0,3.0
32101653,1.0,1.0,-1.0,3.0,1.0,1.0
32124813,0.0,0.0,0.0,0.0,3.0,0.0
3212494,0.0,0.0,0.0,0.0,3.0,0.0
32134,3.0,3.0,-1.0,1.0,1.0,3.0
3213513,3.0,1.0,-1.0,3.0,1.0,1.0
3214,3.0,3.0,-1.0,1.0,1.0,1.0
3214526,0.0,2.0,-1.0,2.0,0.0,2.0
32145630,0.0,0.0,0.0,0.0,3.0,0.0
32147159,1.0,1.0,-1.0,0.0,3.0,1.0
32150349,1.0,1.0,-1.0,3.0,1.0,1.0
32150421,0.0,2.0,-1.0,2.0,0.0,2.0
32173944,1.0,0.0,0.0,0.0,3.0,0.0
32178012,1.0,0.0,0.0,0.0,3.0,0.0
32182172,2.0,3.0,-1.0,1.0,1.0,3.0
32182940,3.0,1.0,-1.0,3.0,1.0,1.0
32192227,0.0,2.0,0.0,0.0,3.0,0.0
322098,0.0,0.0,0.0,0.0,3.0,0.0
32226176,3.0,3.0,-1.0,1.0,1.0,3.0
32227753,0.0,2.0,-1.0,2.0,0.0,2.0
3223107,0.0,2.0,-1.0,2.0,0.0,2.0
3224296,0.0,2.0,-1.0,2.0,0.0,2.0
32250907,0.0,0.0,0.0,0.0,3.0,0.0
32251124,2.0,3.0,-1.0,1.0,1.0,3.0
32267342,0.0,2.0,0.0,2.0,3.0,2.0
32270108,1.0,0.0,0.0,0.0,3.0,0.0
322748762,3.0,1.0,-1.0,3.0,1.0,1.0
32283298,0.0,0.0,0.0,0.0,3.0,0.0
32286231,1.0,0.0,0.0,0.0,3.0,0.0
3228717,1.0,1.0,0.0,0.0,3.0,0.0
3229011,0.0,2.0,-1.0,2.0,0.0,2.0
