,user_id,username
339,142318864,"['夏_f', '雅_l', '夏', '提', '雅']"
340,342511,"['菡_f', '悠_l', '菡', '香', '悠悠']"
341,16028735,"['a_f', '1_l', 'aimm1111']"
342,1345081,"['落_f', '莫_l', '落', '瑛']"
343,10480057,"['我_f', '颖_l', '最', '爱', '林', '志', '颖']"
344,4320509,"['枫_f', '枫_l', '枫', '枫']"
345,41390029,"['小_f', 'C_l', '小小', '星', '晨', 'CC']"
346,187967497,"['朱_f', '2_l', '朱', '杰', '_7812']"
347,3229011,"['第_f', '章_l', '第四', '乐章']"
348,846639,"['r_f', 'v_l', 'rhandv']"
349,2945371,"['丙_f', '醇_l', '丙', '三', '醇']"
350,841993292,"['海_f', '吧_l', '海燕', '呐', '长', '点儿', '心']"
351,5705875,"['s_f', 'y_l', 'sk8jimmy']"
352,29476778,"['牛_f', 'n_l', '牛奶', '仔', 'evn']"
353,1072503550,"['林_f', '兒_l', '林', '吟', '兒']"
354,7981361,"['l_f', 'e_l', 'liliage']"
355,31118,"['m_f', '7_l', 'maple567']"
356,13909848,"['H_f', 'k_l', 'Hantok']"
357,6813611,"['J_f', 't_l', 'Joe_trust']"
358,5386640,"['v_f', '1_l', 'vivian141']"
359,39795788,"['开_f', '团_l', '开心', '麻花', '社团']"
360,47595998,"['戀_f', '兒_l', '戀', '雲', '兒']"
361,9806027,"['d_f', '9_l', 'dada419']"
362,803192,"['q_f', '圆_l', 'qq', '小', '汤', '圆']"
363,33351848,"['思_f', '说_l', '思', '思', '思', '思', '思', '思']"
364,24363921,"['肖_f', '七_l', '肖', '大宝', '七七']"
365,13617232,"['M_f', 'X_l', 'MoMo.X']"
366,4212614,"['n_f', 'G_l', 'nissaG']"
367,24100526,"['慈_f', '琵_l', '慈', '磁', '微', '艾', '琵']"
368,467906,"['小_f', '鱼_l', '小小', '咸', '鱼']"
369,3387773,"['小_f', '囡_l', '小', '洁', '囡囡']"
370,22058483,"['葱_f', 'X_l', '葱', '油', '拌', '_X']"
371,3990637,"['小_f', '华_l', '小', '鱼', '气', '华']"
372,23600,"['大_f', '评_l', '大众', '评']"
373,1970669,"['v_f', 'e_l', 'viridescence']"
374,5138350,"['苏_f', '苏_l', '苏', '苏']"
375,3259809,"['星_f', '海_l', '星际', '海']"
376,4350883,"['l_f', 'g_l', 'lingerspaling']"
377,102875710,"['e_f', '6_l', 'enby626']"
378,1957041,"['种_f', '狼_l', '田', '狼']"
379,5652900,"['e_f', 'H_l', 'elainHH']"
380,25957778,"['蒸_f', '头_l', '蒸', '笼', '草', '头']"
381,12952921,"['j_f', 'r_l', 'jaysky_wjr']"
382,760301955,"['s_f', '胡_l', 'seasonhu0423', '胡']"
383,6369014,"['S_f', 'e_l', 'Scraige']"
384,19750216,"['在_f', '人_l', '地球', '汪', '星']"
385,1562807,"['意_f', '也_l', '意', '犹', '未']"
386,5075726,"['王_f', '页_l', '王', '玉石', '页']"
387,25261662,"['奋_f', '狼_l', '奋斗', '灰', '太', '狼']"
388,37279194,"['R_f', 'U_l', 'Right_ZHU']"
389,1215108,"['m_f', '1_l', 'msn_1']"
390,18520499,"['勇_f', '纸_l', '勇气', '小包', '纸']"
391,107577743,"['流_f', '鱼_l', '流水', '行', '鱼']"
392,2073720,"['l_f', '6_l', 'lisa626']"
393,40064648,"['s_f', 'e_l', 'sucesskame']"
394,837353,"['p_f', '1_l', 'penny830601']"
395,3454081,"['v_f', '2_l', 'volanda82']"
396,47884126,"['睡_f', '君_l', '睡', '不醒', '咔', '咔', '君']"
397,14403913,"['y_f', '3_l', 'yasheng1973']"
398,1803286,"['D_f', '9_l', 'DAIDAI8759']"
399,14421738,"['大_f', '豆_l', '大肚', '豆']"
400,54467491,"['m_f', '2_l', 'monkey9202']"
401,9253822,"['苏_f', '耶_l', '苏', '菲', '耶']"
402,13331684,"['J_f', '4_l', 'Jueer2004']"
403,1149399,"['l_f', 'u_l', 'luck_nunu']"
404,4654286,"['暁_f', '主_l', '暁', '公主']"
405,28976459,"['抹_f', '樂_l', '抹茶', '猫', '大', '樂']"
406,887140,"['s_f', 'g_l', 'shanghaiping']"
407,34722787,"['恋_f', '鬼_l', '恋', '天使', '魔鬼']"
408,3310064,"['w_f', 'x_l', 'ws33xx']"
409,15555717,"['小_f', '猪_l', '小', '猪', '猪']"
410,2677044,"['狮_f', 'l_l', '狮子座', 'rachel']"
411,581975,"['美_f', '6_l', '美人', '鱼', '116']"
412,1172575,"['s_f', 'f_l', 'shirley_zf']"
413,25315507,"['疯_f', '啊_l', '疯狂', '吃', '货']"
414,26234186,"['壹_f', '你_l', '壹', '心爱']"
415,110125228,"['生_f', '顶_l', '生', '顶']"
416,2558431,"['水_f', '8_l', '水', '散发', '88']"
417,140820051,"['汪_f', '刘_l', '汪汪', '刘']"
418,19834288,"['n_f', 'i_l', 'noshiki']"
419,5826745,"['小_f', 'r_l', '小', '勾', 'esther']"
420,24770514,"['f_f', 's_l', 'fhatigs']"
421,119115100,"['暗_f', '水_l', '暗暗', '水']"
422,4738059,"['d_f', '1_l', 'dxf0721']"
423,6512777,"['部_f', '猪_l', '部', '部', '猪']"
424,1200608,"['m_f', '8_l', 'maxpayne_888']"
425,14867288,"['S_f', '1_l', 'SukiLau1991']"
426,2524389,"['h_f', '6_l', 'hw126']"
427,2467098,"['f_f', 'J_l', 'freefallJ']"
428,15338011,"['一_f', 'm_l', '一块', '饼']"
429,30327551,"['不_f', '死_l', '实话', '实说', '死']"
430,121248,"['糯_f', '咚_l', '糯米', '团', '子']"
431,155353009,"['伪_f', '嗳_l', '伪', '叻']"
432,113259421,"['从_f', '始_l', '7', '开始']"
433,30081813,"['s_f', '久_l', 'sTar', '小', '久久']"
434,15736612,"['j_f', 'l_l', 'jequil']"
435,120291599,"['m_f', '._l', 'mIu']"
436,7937454,"['o_f', 'y_l', 'onfeiway']"
437,64130738,"['麦_f', '者_l', '麦子', '_', '守望']"
438,1284470,"['j_f', '仁_l', 'jin', '蓶', '仁']"
439,20621461,"['铜_f', '齿_l', '铜牙', '利', '齿']"
440,19089163,"['i_f', '6_l', 'if_only3166']"
441,75563402,"['M_f', '谊_l', 'Moria', '信', '谊']"
442,14612553,"['h_f', 'z_l', 'heb_z']"
443,18100958,"['y_f', '6_l', 'yioz1986']"
444,4191120,"['V_f', '滺_l', 'Vampire', '滺']"
445,5610056,"['砂_f', '头_l', '砂', '锅', '鱼头']"
446,97666,"['食_f', '神_l', '食', '◎', '神']"
447,37733643,"['q_f', '情_l', 'qu', '爱', '美丽', '心情']"
448,4150442,"['t_f', 'a_l', 'tre_asia']"
449,792550859,"['雅_f', '路_l', '雅子', '路']"
450,14608955,"['西_f', 'V_l', '西', '柚', '汁', 'V']"
451,53834567,"['坏_f', '6_l', '坏', '学生', '_3706']"
452,1237811,"['d_f', 'i_l', 'doliyasi']"
453,2081986,"['見_f', '星_l', '見習', '球', '星']"
454,43827939,"['萌_f', ')_l', '萌', '萌', '^', '^']"
